iter	Passed	Remaining
0	131	131369
1	132	66316
2	134	44545
3	135	33617
4	136	27090
5	137	22717
6	138	19673
7	139	17324
8	140	15510
9	141	14050
10	143	12859
11	144	11860
12	145	11044
13	146	10321
14	147	9695
15	148	9154
16	149	8668
17	150	8234
18	151	7847
19	153	7498
20	154	7185
21	155	6898
22	156	6641
23	157	6404
24	158	6182
25	159	5977
26	160	5791
27	161	5616
28	162	5453
29	163	5300
30	165	5158
31	166	5023
32	167	4899
33	168	4781
34	169	4673
35	170	4570
36	171	4470
37	172	4376
38	173	4286
39	175	4201
40	176	4121
41	177	4043
42	178	3969
43	179	3897
44	180	3830
45	181	3764
46	182	3700
47	183	3641
48	184	3585
49	185	3533
50	187	3481
51	188	3430
52	189	3381
53	190	3333
54	191	3287
55	192	3245
56	193	3202
57	194	3161
58	195	3125
59	196	3085
60	198	3050
61	199	3014
62	200	2980
63	201	2946
64	202	2912
65	203	2879
66	204	2849
67	205	2818
68	206	2789
69	207	2760
70	208	2733
71	209	2705
72	211	2679
73	212	2656
74	213	2631
75	214	2609
76	215	2584
77	216	2561
78	217	2538
79	218	2517
80	219	2494
81	220	2473
82	221	2448
83	222	2429
84	223	2410
85	225	2391
86	226	2372
87	227	2355
88	228	2338
89	229	2319
90	230	2301
91	231	2283
92	232	2267
93	233	2251
94	234	2234
95	235	2218
96	236	2202
97	237	2188
98	238	2173
99	239	2159
100	240	2144
101	242	2131
102	243	2117
103	244	2104
104	245	2092
105	246	2078
106	247	2065
107	248	2053
108	249	2041
109	250	2029
110	251	2016
111	252	2005
112	253	1993
113	254	1981
114	256	1970
115	257	1960
116	258	1949
117	259	1938
118	260	1927
119	261	1918
120	262	1908
121	263	1897
122	264	1888
123	265	1878
124	267	1869
125	268	1859
126	269	1849
127	270	1839
128	271	1831
129	272	1823
130	273	1814
131	274	1806
132	275	1797
133	276	1789
134	278	1782
135	279	1774
136	280	1765
137	281	1757
138	282	1749
139	283	1741
140	284	1733
141	285	1723
142	286	1716
143	287	1710
144	288	1702
145	289	1695
146	290	1687
147	291	1680
148	292	1672
149	293	1665
